date,load
2011-07-01,3696.1
2011-07-02,4147.48
2011-07-03,4274.05
2011-07-04,3991.69
2011-07-05,3786.47
2011-07-06,3683.32
2011-07-07,3522.75
2011-07-08,3556.28
2011-07-09,3833.57
2011-07-10,3924.66
2011-07-11,3820.51
2011-07-12,3897.77
2011-07-13,3841.2
2011-07-14,3804.47
2011-07-15,3744
2011-07-16,3843.59
2011-07-17,4050.78
2011-07-18,3933.05
2011-07-19,3808.76
2011-07-20,3770.81
2011-07-21,3711.04
2011-07-22,3668.52
2011-07-23,3792.92
2011-07-24,3781.1
2011-07-25,3648.18
2011-07-26,3788.36
2011-07-27,4045.93
2011-07-28,3906.42
2011-07-29,3778.72
2011-07-30,4052.27
2011-07-31,4356.64
