date,load
2011-07-01,3491.99
2011-07-02,3473.93
2011-07-03,3459.96
2011-07-04,3540.91
2011-07-05,3655.47
2011-07-06,3712.34
2011-07-07,3727.81
2011-07-08,3746.73
2011-07-09,3750.08
2011-07-10,3742.03
2011-07-11,3740.35
2011-07-12,3685.42
2011-07-13,3665.66
2011-07-14,3693.76
2011-07-15,3730.72
2011-07-16,3745.26
2011-07-17,3711.81
2011-07-18,3726.44
2011-07-19,3745.44
2011-07-20,3756.86
2011-07-21,3763.01
2011-07-22,3773.91
2011-07-23,3793.15
2011-07-24,3817.07
2011-07-25,3833.9
2011-07-26,3832.95
2011-07-27,3806.43
2011-07-28,3790.22
2011-07-29,3804.59
2011-07-30,3804.05
2011-07-31,3690.31
