date,load
2011-07-01,3524.26
2011-07-02,3761.31
2011-07-03,3900.8
2011-07-04,3836.57
2011-07-05,3794.48
2011-07-06,3809.1
2011-07-07,3814.84
2011-07-08,3807.76
2011-07-09,3947.53
2011-07-10,3993.08
2011-07-11,3975.95
2011-07-12,3923.85
2011-07-13,3915.91
2011-07-14,3901.95
2011-07-15,3872.59
2011-07-16,4015.78
2011-07-17,4107.45
2011-07-18,4053.55
2011-07-19,3969.62
2011-07-20,3985.47
2011-07-21,3950
2011-07-22,3915.63
2011-07-23,4021.28
2011-07-24,4097.49
2011-07-25,4056.21
2011-07-26,4067.2
2011-07-27,4086.7
2011-07-28,4000.43
2011-07-29,3961.26
2011-07-30,4116.86
2011-07-31,4166.7
