date,load
2011-07-01,3246.25
2011-07-02,3342.65
2011-07-03,3603.2
2011-07-04,3635.79
2011-07-05,3579.27
2011-07-06,3649.87
2011-07-07,3862.55
2011-07-08,3751.85
2011-07-09,3766.2
2011-07-10,3755.27
2011-07-11,4057.08
2011-07-12,3856.68
2011-07-13,3841.6
2011-07-14,3821.31
2011-07-15,3684.13
2011-07-16,3903.08
2011-07-17,4062.55
2011-07-18,4173.73
2011-07-19,3951.92
2011-07-20,4031.86
2011-07-21,3948.84
2011-07-22,3800.55
2011-07-23,3786.18
2011-07-24,4047.21
2011-07-25,4258.42
2011-07-26,4321.97
2011-07-27,4158.19
2011-07-28,3909.98
2011-07-29,3835.39
2011-07-30,3975.04
2011-07-31,3898.84
